VaccinationDate,age_group,first_dose,second_dose,third_dose
2021-03-14,30-39,4566,19729,0
2021-03-14,50-59,1925,6772,0
2021-03-14,80-89,288,694,0
2021-03-14,20-29,6315,22270,0
2021-03-15,80-89,264,835,0
2021-03-15,90+,57,200,0
2021-03-15,0-19,2627,8052,0
2021-03-15,50-59,1838,7092,0
2021-03-15,20-29,6154,23771,0
2021-03-15,60-69,1071,3814,0
2021-03-15,70-79,519,1963,0
2021-03-15,30-39,4552,20418,0
2021-03-15,40-49,2986,12053,0
2021-03-16,30-39,4056,18163,0
2021-03-16,80-89,264,758,0
2021-03-16,20-29,5693,22216,0
2021-03-16,90+,75,142,0
2021-03-16,70-79,529,1704,0
2021-03-16,40-49,2794,10670,0
2021-03-16,50-59,1663,6379,0
2021-03-16,60-69,1009,3393,0
2021-03-16,0-19,2593,7990,0
2021-03-17,70-79,464,1574,0
2021-03-17,60-69,991,2907,0
2021-03-17,20-29,5243,17913,0
2021-03-17,0-19,2363,6299,0
2021-03-17,30-39,3967,14906,0
2021-03-17,40-49,2645,8973,0
2021-03-17,80-89,233,699,0
2021-03-17,90+,45,158,0
2021-03-17,50-59,1672,5528,0
2021-03-18,50-59,1545,5554,0
2021-03-18,30-39,3612,15037,0
2021-03-18,90+,67,131,0
2021-03-18,60-69,928,2844,0
2021-03-18,40-49,2436,9362,0
2021-03-18,70-79,442,1296,0
2021-03-18,80-89,239,646,0
2021-03-18,0-19,2060,6004,0
2021-03-18,20-29,4638,17194,0
2021-03-19,30-39,1739,7526,0
2021-03-19,0-19,833,2688,0
2021-03-19,70-79,143,548,0
2021-03-19,20-29,1954,8376,0
2021-03-19,40-49,1127,4546,0
2021-03-19,80-89,74,281,0
2021-03-19,60-69,324,1216,0
2021-03-19,90+,<15,41,0
2021-03-19,50-59,674,2704,0
2021-03-20,20-29,1775,4912,0
2021-03-20,80-89,47,104,0
2021-03-20,30-39,1049,3382,0
2021-03-20,90+,<15,<15,0
2021-03-20,0-19,719,2067,0
2021-03-20,50-59,469,1432,0
2021-03-20,40-49,776,2458,0
2021-03-20,70-79,102,298,0
2021-03-20,60-69,234,604,0
2021-03-21,40-49,1836,6252,0
2021-03-21,0-19,1769,4547,0
2021-03-21,20-29,4006,11789,0
2021-03-21,80-89,179,557,0
2021-03-21,70-79,376,1042,0
2021-03-21,50-59,1193,3718,0
2021-03-21,30-39,2955,10329,0
2021-03-21,60-69,750,2119,0
2021-03-21,90+,47,101,0
2021-03-22,60-69,744,1984,0
2021-03-22,50-59,1209,3656,0
2021-03-22,90+,69,125,0
2021-03-22,70-79,417,1058,0
2021-03-22,40-49,1914,6213,0
2021-03-22,0-19,1710,4602,0
2021-03-22,20-29,4213,12017,0
2021-03-22,30-39,3049,10265,0
2021-03-22,80-89,163,556,0
2021-03-23,50-59,286,649,0
2021-03-23,70-79,74,180,0
2021-03-23,30-39,587,1764,0
2021-03-23,20-29,848,2214,0
2021-03-23,80-89,27,89,0
2021-03-23,0-19,331,831,0
2021-03-23,60-69,190,301,0
2021-03-23,90+,<15,18,0
2021-03-23,40-49,404,1192,0
2021-03-24,20-29,3524,14394,0
2021-03-24,70-79,309,1263,0
2021-03-24,30-39,2355,11383,0
2021-03-24,50-59,921,4074,0
2021-03-24,80-89,182,666,0
2021-03-24,0-19,1388,5309,0
2021-03-24,60-69,552,2340,0
2021-03-24,90+,43,140,0
2021-03-24,40-49,1654,6921,0
2021-03-25,0-19,1282,4320,0
2021-03-25,20-29,3124,10940,0
2021-03-25,60-69,555,1588,0
2021-03-25,40-49,1501,5418,0
2021-03-25,70-79,285,768,0
2021-03-25,50-59,937,3179,0
2021-03-25,90+,45,97,0
2021-03-25,80-89,155,415,0
2021-03-25,30-39,2285,8632,0
2021-03-26,20-29,1213,4182,0
2021-03-26,90+,18,31,0
2021-03-26,70-79,105,257,0
2021-03-26,30-39,1004,3300,0
2021-03-26,80-89,43,141,0
2021-03-26,50-59,394,1162,0
2021-03-26,40-49,633,2130,0
2021-03-26,60-69,230,541,0
2021-03-26,0-19,472,1533,0
2021-03-27,50-59,138,388,0
2021-03-27,30-39,397,881,0
2021-03-27,40-49,247,650,0
2021-03-27,70-79,31,72,0
2021-03-27,60-69,84,165,0
2021-03-27,90+,<15,<15,0
2021-03-27,0-19,258,544,0
2021-03-27,80-89,<15,27,0
2021-03-27,20-29,591,1507,0
2021-03-28,50-59,182,431,0
2021-03-28,70-79,42,92,0
2021-03-28,30-39,442,942,0
2021-03-28,40-49,295,712,0
2021-03-28,60-69,72,190,0
2021-03-28,0-19,287,681,0
2021-03-28,20-29,735,1501,0
2021-03-28,90+,<15,<15,0
2021-03-28,80-89,15,28,0
2021-03-29,40-49,1032,4705,0
2021-03-29,80-89,131,434,0
2021-03-29,70-79,231,826,0
2021-03-29,90+,47,107,0
2021-03-29,50-59,718,2851,0
2021-03-29,60-69,465,1552,0
2021-03-29,30-39,1430,7019,0
2021-03-29,0-19,911,3645,0
2021-03-29,20-29,1876,8824,0
2021-03-30,80-89,158,379,0
2021-03-30,30-39,1612,5114,0
2021-03-30,90+,58,81,0
2021-03-30,50-59,736,2125,0
2021-03-30,20-29,2254,6687,0
2021-03-30,40-49,1073,3358,0
2021-03-30,0-19,1130,2841,0
2021-03-30,60-69,490,1172,0
2021-03-30,70-79,285,616,0
2021-03-31,30-39,1683,4715,0
2021-03-31,40-49,1197,2988,0
2021-03-31,80-89,201,284,0
2021-03-31,50-59,803,1782,0
2021-03-31,20-29,2319,5674,0
2021-03-31,90+,58,74,0
2021-03-31,0-19,1012,2327,0
2021-03-31,60-69,492,1010,0
2021-03-31,70-79,309,544,0
2021-04-01,30-39,1631,4437,0
2021-04-01,90+,48,63,0
2021-04-01,40-49,1231,2772,0
2021-04-01,60-69,502,889,0
2021-04-01,70-79,271,432,0
2021-04-01,0-19,1125,2377,0
2021-04-01,20-29,2318,5751,0
2021-04-01,80-89,168,241,0
2021-04-01,50-59,795,1657,0
2021-04-02,90+,<15,16,0
2021-04-02,60-69,135,326,0
2021-04-02,70-79,66,147,0
2021-04-02,20-29,847,2557,0
2021-04-02,0-19,334,909,0
2021-04-02,40-49,449,1296,0
2021-04-02,80-89,29,84,0
2021-04-02,30-39,679,2089,0
2021-04-02,50-59,323,643,0
2021-04-03,40-49,189,442,0
2021-04-03,70-79,35,66,0
2021-04-03,60-69,69,108,0
2021-04-03,80-89,<15,17,0
2021-04-03,0-19,209,388,0
2021-04-03,20-29,487,1083,0
2021-04-03,90+,<15,<15,0
2021-04-03,50-59,136,223,0
2021-04-03,30-39,259,603,0
2021-04-04,0-19,1282,2996,0
2021-04-04,30-39,2105,5437,0
2021-04-04,20-29,2857,7122,0
2021-04-04,40-49,1376,3477,0
2021-04-04,70-79,316,503,0
2021-04-04,90+,57,69,0
2021-04-04,50-59,874,1852,0
2021-04-04,60-69,569,1023,0
2021-04-04,80-89,162,310,0
2021-04-05,70-79,368,472,0
2021-04-05,50-59,940,1761,0
2021-04-05,40-49,1434,2958,0
2021-04-05,80-89,224,248,0
2021-04-05,0-19,1514,3124,0
2021-04-05,20-29,2956,6819,0
2021-04-05,90+,70,77,0
2021-04-05,60-69,592,907,0
2021-04-05,30-39,2190,4831,0
2021-04-06,0-19,1197,2231,0
2021-04-06,60-69,569,807,0
2021-04-06,90+,66,71,0
2021-04-06,70-79,381,411,0
2021-04-06,80-89,189,196,0
2021-04-06,40-49,1280,2488,0
2021-04-06,20-29,2443,5159,0
2021-04-06,50-59,858,1406,0
2021-04-06,30-39,1952,3940,0
2021-04-07,90+,83,56,0
2021-04-07,40-49,1212,2320,0
2021-04-07,70-79,316,360,0
2021-04-07,20-29,2528,4682,0
2021-04-07,60-69,601,673,0
2021-04-07,50-59,856,1301,0
2021-04-07,0-19,1236,2136,0
2021-04-07,30-39,1829,3467,0
2021-04-07,80-89,177,218,0
2021-04-08,60-69,586,806,0
2021-04-08,80-89,187,208,0
2021-04-08,90+,83,47,0
2021-04-08,50-59,858,1446,0
2021-04-08,0-19,1253,2110,0
2021-04-08,20-29,2601,5124,0
2021-04-08,40-49,1402,2573,0
2021-04-08,30-39,2018,4221,0
2021-04-08,70-79,318,382,0
2021-04-09,40-49,522,954,0
2021-04-09,30-39,915,1649,0
2021-04-09,0-19,475,771,0
2021-04-09,80-89,40,69,0
2021-04-09,50-59,341,508,0
2021-04-09,90+,<15,<15,0
2021-04-09,70-79,81,108,0
2021-04-09,20-29,958,1857,0
2021-04-09,60-69,179,242,0
2021-04-10,20-29,530,1204,0
2021-04-10,90+,<15,<15,0
2021-04-10,30-39,345,750,0
2021-04-10,40-49,222,526,0
2021-04-10,70-79,44,64,0
2021-04-10,60-69,80,115,0
2021-04-10,0-19,200,492,0
2021-04-10,50-59,150,301,0
2021-04-10,80-89,<15,28,0
2021-04-11,0-19,1304,2036,0
2021-04-11,40-49,1212,1993,0
2021-04-11,90+,60,64,0
2021-04-11,70-79,344,340,0
2021-04-11,60-69,568,679,0
2021-04-11,20-29,2568,4459,0
2021-04-11,80-89,160,176,0
2021-04-11,50-59,781,1178,0
2021-04-11,30-39,1987,3278,0
2021-04-12,60-69,573,635,0
2021-04-12,70-79,332,358,0
2021-04-12,80-89,210,165,0
2021-04-12,20-29,2501,4254,0
2021-04-12,90+,78,64,0
2021-04-12,0-19,1373,1777,0
2021-04-12,30-39,1759,3041,0
2021-04-12,40-49,1166,1821,0
2021-04-12,50-59,859,1049,0
2021-04-13,0-19,691,586,0
2021-04-13,20-29,1550,1449,0
2021-04-13,60-69,353,249,0
2021-04-13,90+,86,30,0
2021-04-13,70-79,239,137,0
2021-04-13,40-49,831,698,0
2021-04-13,80-89,162,78,0
2021-04-13,30-39,1283,1251,0
2021-04-13,50-59,552,416,0
2021-04-14,80-89,74,114,0
2021-04-14,60-69,233,300,0
2021-04-14,0-19,409,599,0
2021-04-14,50-59,391,502,0
2021-04-14,30-39,822,1224,0
2021-04-14,90+,17,34,0
2021-04-14,70-79,147,166,0
2021-04-14,40-49,546,807,0
2021-04-14,20-29,910,1486,0
2021-04-15,70-79,34,27,0
2021-04-15,0-19,70,77,0
2021-04-15,20-29,168,135,0
2021-04-15,40-49,79,83,0
2021-04-15,30-39,106,102,0
2021-04-15,60-69,53,40,0
2021-04-15,90+,<15,<15,0
2021-04-15,80-89,<15,<15,0
2021-04-15,50-59,81,56,0
2021-04-16,50-59,306,497,0
2021-04-16,70-79,78,143,0
2021-04-16,30-39,756,1669,0
2021-04-16,60-69,195,302,0
2021-04-16,20-29,994,2050,0
2021-04-16,90+,<15,24,0
2021-04-16,40-49,484,1025,0
2021-04-16,80-89,45,83,0
2021-04-16,0-19,462,797,0
2021-04-17,90+,0,<15,0
2021-04-17,30-39,179,450,0
2021-04-17,70-79,20,26,0
2021-04-17,40-49,112,277,0
2021-04-17,80-89,<15,<15,0
2021-04-17,50-59,71,146,0
2021-04-17,60-69,41,77,0
2021-04-17,20-29,276,690,0
2021-04-17,0-19,84,272,0
2021-04-18,50-59,640,570,0
2021-04-18,20-29,2088,2419,0
2021-04-18,80-89,94,91,0
2021-04-18,0-19,1113,986,0
2021-04-18,30-39,1426,1721,0
2021-04-18,40-49,968,1002,0
2021-04-18,70-79,231,210,0
2021-04-18,60-69,459,376,0
2021-04-18,90+,30,27,0
2021-04-19,30-39,1293,1591,0
2021-04-19,60-69,395,399,0
2021-04-19,40-49,866,926,0
2021-04-19,50-59,579,602,0
2021-04-19,20-29,1891,2224,0
2021-04-19,70-79,208,214,0
2021-04-19,0-19,974,908,0
2021-04-19,80-89,96,142,0
2021-04-19,90+,32,55,0
2021-04-20,60-69,366,424,0
2021-04-20,70-79,210,215,0
2021-04-20,90+,38,61,0
2021-04-20,40-49,920,965,0
2021-04-20,30-39,1380,1627,0
2021-04-20,80-89,97,147,0
2021-04-20,0-19,851,838,0
2021-04-20,20-29,1727,1966,0
2021-04-20,50-59,600,572,0
2021-04-21,20-29,1740,2104,0
2021-04-21,60-69,401,379,0
2021-04-21,50-59,676,621,0
2021-04-21,0-19,838,898,0
2021-04-21,70-79,212,222,0
2021-04-21,30-39,1355,1560,0
2021-04-21,90+,48,54,0
2021-04-21,40-49,881,1030,0
2021-04-21,80-89,121,163,0
2021-04-22,70-79,213,258,0
2021-04-22,50-59,577,711,0
2021-04-22,40-49,898,1087,0
2021-04-22,90+,<15,61,0
2021-04-22,80-89,85,166,0
2021-04-22,20-29,1635,2219,0
2021-04-22,0-19,776,968,0
2021-04-22,60-69,405,421,0
2021-04-22,30-39,1263,1711,0
2021-04-23,0-19,425,466,0
2021-04-23,80-89,27,35,0
2021-04-23,70-79,56,56,0
2021-04-23,60-69,125,145,0
2021-04-23,50-59,276,330,0
2021-04-23,90+,<15,<15,0
2021-04-23,40-49,413,490,0
2021-04-23,20-29,703,983,0
2021-04-23,30-39,651,807,0
2021-04-24,70-79,<15,16,0
2021-04-24,0-19,111,184,0
2021-04-24,40-49,111,180,0
2021-04-24,20-29,254,477,0
2021-04-24,60-69,27,32,0
2021-04-24,90+,0,<15,0
2021-04-24,30-39,143,261,0
2021-04-24,80-89,<15,<15,0
2021-04-24,50-59,57,96,0
2021-04-25,80-89,76,110,0
2021-04-25,50-59,438,553,0
2021-04-25,30-39,1053,1593,0
2021-04-25,40-49,688,951,0
2021-04-25,0-19,625,898,0
2021-04-25,70-79,168,205,0
2021-04-25,60-69,307,386,0
2021-04-25,90+,17,36,0
2021-04-25,20-29,1407,2147,0
2021-04-26,20-29,1630,2441,0
2021-04-26,0-19,871,1178,0
2021-04-26,50-59,441,661,0
2021-04-26,70-79,167,259,0
2021-04-26,90+,29,49,0
2021-04-26,80-89,78,154,0
2021-04-26,60-69,266,366,0
2021-04-26,40-49,736,1077,0
2021-04-26,30-39,1196,1643,0
2021-04-27,70-79,165,242,0
2021-04-27,40-49,637,945,0
2021-04-27,60-69,275,403,0
2021-04-27,0-19,655,872,0
2021-04-27,80-89,97,160,0
2021-04-27,20-29,1143,1799,0
2021-04-27,50-59,456,595,0
2021-04-27,30-39,989,1478,0
2021-04-27,90+,28,59,0
2021-04-28,40-49,630,938,0
2021-04-28,20-29,1295,2204,0
2021-04-28,30-39,953,1538,0
2021-04-28,80-89,57,157,0
2021-04-28,0-19,666,1073,0
2021-04-28,90+,21,79,0
2021-04-28,70-79,142,224,0
2021-04-28,60-69,257,407,0
2021-04-28,50-59,397,624,0
2021-04-29,40-49,707,1015,0
2021-04-29,80-89,79,155,0
2021-04-29,90+,16,70,0
2021-04-29,30-39,970,1646,0
2021-04-29,70-79,143,247,0
2021-04-29,60-69,291,398,0
2021-04-29,50-59,422,634,0
2021-04-29,20-29,1089,2089,0
2021-04-29,0-19,575,950,0
2021-04-30,70-79,29,79,0
2021-04-30,90+,<15,<15,0
2021-04-30,20-29,447,883,0
2021-04-30,50-59,195,266,0
2021-04-30,60-69,110,129,0
2021-04-30,40-49,335,442,0
2021-04-30,80-89,21,65,0
2021-04-30,30-39,453,835,0
2021-04-30,0-19,265,416,0
2021-05-01,80-89,<15,<15,0
2021-05-01,20-29,158,323,0
2021-05-01,70-79,<15,16,0
2021-05-01,90+,0,<15,0
2021-05-01,30-39,94,204,0
2021-05-01,50-59,31,48,0
2021-05-01,40-49,70,118,0
2021-05-01,60-69,16,35,0
2021-05-01,0-19,51,120,0
2021-05-02,70-79,107,174,0
2021-05-02,20-29,912,1851,0
2021-05-02,50-59,299,417,0
2021-05-02,80-89,48,95,0
2021-05-02,90+,<15,33,0
2021-05-02,60-69,167,327,0
2021-05-02,40-49,424,789,0
2021-05-02,0-19,520,959,0
2021-05-02,30-39,711,1398,0
2021-05-03,70-79,97,201,0
2021-05-03,30-39,791,1364,0
2021-05-03,50-59,311,455,0
2021-05-03,90+,15,49,0
2021-05-03,60-69,215,339,0
2021-05-03,0-19,548,820,0
2021-05-03,20-29,943,1612,0
2021-05-03,80-89,52,113,0
2021-05-03,40-49,509,795,0
2021-05-04,80-89,65,132,0
2021-05-04,20-29,1024,1278,0
2021-05-04,70-79,134,174,0
2021-05-04,30-39,780,1054,0
2021-05-04,90+,18,55,0
2021-05-04,40-49,490,685,0
2021-05-04,50-59,334,385,0
2021-05-04,60-69,213,243,0
2021-05-04,0-19,463,640,0
2021-05-05,20-29,816,1124,0
2021-05-05,40-49,495,535,0
2021-05-05,30-39,775,928,0
2021-05-05,70-79,83,150,0
2021-05-05,50-59,278,362,0
2021-05-05,90+,15,36,0
2021-05-05,0-19,513,570,0
2021-05-05,80-89,59,110,0
2021-05-05,60-69,171,191,0
2021-05-06,80-89,46,54,0
2021-05-06,20-29,925,954,0
2021-05-06,90+,<15,<15,0
2021-05-06,60-69,184,162,0
2021-05-06,30-39,836,644,0
2021-05-06,70-79,102,81,0
2021-05-06,40-49,502,393,0
2021-05-06,0-19,567,507,0
2021-05-06,50-59,379,248,0
2021-05-07,0-19,230,343,0
2021-05-07,70-79,41,47,0
2021-05-07,60-69,110,121,0
2021-05-07,90+,<15,<15,0
2021-05-07,80-89,<15,40,0
2021-05-07,20-29,439,721,0
2021-05-07,50-59,182,214,0
2021-05-07,40-49,293,367,0
2021-05-07,30-39,448,550,0
2021-05-08,70-79,<15,<15,0
2021-05-08,50-59,16,34,0
2021-05-08,20-29,76,182,0
2021-05-08,30-39,47,107,0
2021-05-08,60-69,<15,22,0
2021-05-08,40-49,26,61,0
2021-05-08,0-19,31,54,0
2021-05-08,80-89,<15,0,0
2021-05-08,90+,0,<15,0
2021-05-09,60-69,135,294,0
2021-05-09,70-79,96,154,0
2021-05-09,40-49,409,577,0
2021-05-09,30-39,635,1046,0
2021-05-09,20-29,757,1421,0
2021-05-09,90+,<15,46,0
2021-05-09,0-19,445,718,0
2021-05-09,50-59,281,364,0
2021-05-09,80-89,39,86,0
2021-05-10,70-79,99,159,0
2021-05-10,0-19,415,722,0
2021-05-10,20-29,729,1318,0
2021-05-10,30-39,648,1029,0
2021-05-10,50-59,290,375,0
2021-05-10,60-69,154,264,0
2021-05-10,90+,18,51,0
2021-05-10,40-49,447,613,0
2021-05-10,80-89,39,103,0
2021-05-11,40-49,341,544,0
2021-05-11,80-89,52,69,0
2021-05-11,50-59,227,339,0
2021-05-11,60-69,124,187,0
2021-05-11,20-29,713,1112,0
2021-05-11,0-19,411,518,0
2021-05-11,70-79,70,130,0
2021-05-11,30-39,575,881,0
2021-05-11,90+,<15,17,0
2021-05-12,80-89,27,72,0
2021-05-12,40-49,299,468,0
2021-05-12,90+,21,29,0
2021-05-12,70-79,55,98,0
2021-05-12,50-59,190,267,0
2021-05-12,30-39,499,730,0
2021-05-12,0-19,222,533,0
2021-05-12,20-29,499,847,0
2021-05-12,60-69,131,189,0
2021-05-13,80-89,24,75,0
2021-05-13,0-19,375,672,0
2021-05-13,20-29,549,942,0
2021-05-13,50-59,160,291,0
2021-05-13,70-79,53,132,0
2021-05-13,40-49,278,502,0
2021-05-13,30-39,403,768,0
2021-05-13,90+,<15,<15,0
2021-05-13,60-69,121,200,0
2021-05-14,40-49,114,209,0
2021-05-14,0-19,183,255,0
2021-05-14,80-89,15,21,0
2021-05-14,20-29,220,355,0
2021-05-14,60-69,40,63,0
2021-05-14,90+,<15,<15,0
2021-05-14,70-79,28,40,0
2021-05-14,50-59,96,127,0
2021-05-14,30-39,191,349,0
2021-05-15,20-29,71,61,0
2021-05-15,40-49,32,27,0
2021-05-15,0-19,22,16,0
2021-05-15,80-89,<15,<15,0
2021-05-15,50-59,20,48,0
2021-05-15,70-79,<15,<15,0
2021-05-15,30-39,39,35,0
2021-05-15,90+,0,<15,0
2021-05-15,60-69,<15,24,0
2021-05-16,70-79,17,29,0
2021-05-16,0-19,86,184,0
2021-05-16,80-89,<15,17,0
2021-05-16,90+,0,<15,0
2021-05-16,20-29,148,370,0
2021-05-16,60-69,27,56,0
2021-05-16,30-39,92,270,0
2021-05-16,50-59,46,97,0
2021-05-16,40-49,69,155,0
2021-05-17,60-69,17,76,0
2021-05-17,30-39,48,140,0
2021-05-17,40-49,41,112,0
2021-05-17,70-79,<15,29,0
2021-05-17,20-29,71,243,0
2021-05-17,80-89,0,<15,0
2021-05-17,0-19,37,81,0
2021-05-17,50-59,27,114,0
2021-05-18,40-49,274,687,0
2021-05-18,0-19,324,644,0
2021-05-18,20-29,467,1244,0
2021-05-18,70-79,66,219,0
2021-05-18,30-39,415,1169,0
2021-05-18,80-89,30,95,0
2021-05-18,60-69,118,329,0
2021-05-18,50-59,197,460,0
2021-05-18,90+,<15,40,0
2021-05-19,60-69,132,339,0
2021-05-19,80-89,45,91,0
2021-05-19,70-79,69,144,0
2021-05-19,0-19,334,698,0
2021-05-19,30-39,450,1084,0
2021-05-19,40-49,277,660,0
2021-05-19,20-29,638,1465,0
2021-05-19,50-59,175,463,0
2021-05-19,90+,26,30,0
2021-05-20,40-49,297,523,0
2021-05-20,60-69,133,221,0
2021-05-20,20-29,617,1027,0
2021-05-20,50-59,202,354,0
2021-05-20,70-79,69,138,0
2021-05-20,80-89,21,81,0
2021-05-20,0-19,389,572,0
2021-05-20,30-39,486,869,0
2021-05-20,90+,<15,27,0
2021-05-21,60-69,60,77,0
2021-05-21,70-79,20,35,0
2021-05-21,40-49,149,181,0
2021-05-21,30-39,266,332,0
2021-05-21,50-59,105,107,0
2021-05-21,80-89,<15,23,0
2021-05-21,0-19,188,239,0
2021-05-21,90+,0,<15,0
2021-05-21,20-29,312,340,0
2021-05-22,20-29,59,115,0
2021-05-22,80-89,<15,<15,0
2021-05-22,40-49,20,65,0
2021-05-22,50-59,26,32,0
2021-05-22,90+,0,<15,0
2021-05-22,60-69,<15,<15,0
2021-05-22,70-79,<15,<15,0
2021-05-22,30-39,41,93,0
2021-05-22,0-19,27,36,0
2021-05-23,60-69,109,153,0
2021-05-23,90+,<15,<15,0
2021-05-23,20-29,622,889,0
2021-05-23,50-59,236,270,0
2021-05-23,40-49,291,432,0
2021-05-23,0-19,381,519,0
2021-05-23,70-79,52,102,0
2021-05-23,30-39,522,764,0
2021-05-23,80-89,24,46,0
2021-05-24,30-39,457,935,0
2021-05-24,20-29,532,897,0
2021-05-24,80-89,27,65,0
2021-05-24,70-79,56,114,0
2021-05-24,40-49,262,518,0
2021-05-24,50-59,231,306,0
2021-05-24,0-19,356,517,0
2021-05-24,90+,<15,16,0
2021-05-24,60-69,117,176,0
2021-05-25,50-59,160,243,0
2021-05-25,80-89,31,70,0
2021-05-25,60-69,140,180,0
2021-05-25,70-79,65,98,0
2021-05-25,90+,<15,24,0
2021-05-25,40-49,279,360,0
2021-05-25,30-39,393,564,0
2021-05-25,20-29,427,623,0
2021-05-25,0-19,247,365,0
2021-05-26,50-59,113,200,0
2021-05-26,90+,<15,<15,0
2021-05-26,80-89,25,52,0
2021-05-26,30-39,271,615,0
2021-05-26,20-29,366,626,0
2021-05-26,0-19,235,364,0
2021-05-26,70-79,54,89,0
2021-05-26,60-69,79,140,0
2021-05-26,40-49,188,344,0
2021-05-27,90+,<15,23,0
2021-05-27,70-79,50,90,0
2021-05-27,0-19,291,585,0
2021-05-27,50-59,164,235,0
2021-05-27,60-69,76,163,0
2021-05-27,30-39,395,640,0
2021-05-27,20-29,510,942,0
2021-05-27,40-49,242,369,0
2021-05-27,80-89,21,66,0
2021-05-28,20-29,179,270,0
2021-05-28,90+,<15,<15,0
2021-05-28,50-59,86,168,0
2021-05-28,0-19,116,164,0
2021-05-28,60-69,39,92,0
2021-05-28,70-79,<15,38,0
2021-05-28,80-89,<15,<15,0
2021-05-28,40-49,110,230,0
2021-05-28,30-39,153,352,0
2021-05-29,0-19,19,33,0
2021-05-29,70-79,<15,<15,0
2021-05-29,60-69,<15,<15,0
2021-05-29,90+,0,<15,0
2021-05-29,50-59,16,16,0
2021-05-29,30-39,29,35,0
2021-05-29,40-49,32,23,0
2021-05-29,20-29,36,76,0
2021-05-29,80-89,<15,<15,0
2021-05-30,0-19,234,289,0
2021-05-30,70-79,58,78,0
2021-05-30,30-39,361,448,0
2021-05-30,40-49,240,279,0
2021-05-30,80-89,24,36,0
2021-05-30,50-59,165,162,0
2021-05-30,90+,<15,<15,0
2021-05-30,60-69,94,109,0
2021-05-30,20-29,412,484,0
2021-05-31,60-69,93,124,0
2021-05-31,30-39,452,501,0
2021-05-31,0-19,190,315,0
2021-05-31,40-49,216,283,0
2021-05-31,50-59,125,191,0
2021-05-31,20-29,508,539,0
2021-05-31,70-79,42,61,0
2021-05-31,90+,<15,<15,0
2021-05-31,80-89,<15,18,0
2021-06-01,30-39,239,414,0
2021-06-01,60-69,59,100,0
2021-06-01,0-19,210,302,0
2021-06-01,40-49,188,233,0
2021-06-01,50-59,143,149,0
2021-06-01,20-29,368,468,0
2021-06-01,70-79,38,55,0
2021-06-01,90+,<15,<15,0
2021-06-01,80-89,25,38,0
2021-06-02,60-69,71,87,0
2021-06-02,90+,<15,<15,0
2021-06-02,80-89,17,28,0
2021-06-02,70-79,43,49,0
2021-06-02,40-49,197,202,0
2021-06-02,20-29,457,430,0
2021-06-02,50-59,120,136,0
2021-06-02,30-39,280,342,0
2021-06-02,0-19,228,260,0
2021-06-03,40-49,179,185,0
2021-06-03,80-89,<15,30,0
2021-06-03,30-39,258,307,0
2021-06-03,0-19,508,257,0
2021-06-03,70-79,38,47,0
2021-06-03,60-69,66,94,0
2021-06-03,20-29,410,356,0
2021-06-03,50-59,119,129,0
2021-06-03,90+,<15,<15,0
2021-06-04,80-89,<15,<15,0
2021-06-04,50-59,65,78,0
2021-06-04,0-19,536,139,0
2021-06-04,20-29,121,140,0
2021-06-04,40-49,110,100,0
2021-06-04,60-69,21,42,0
2021-06-04,90+,0,<15,0
2021-06-04,70-79,<15,21,0
2021-06-04,30-39,134,165,0
2021-06-05,70-79,<15,<15,0
2021-06-05,20-29,40,36,0
2021-06-05,0-19,29,23,0
2021-06-05,50-59,<15,<15,0
2021-06-05,40-49,16,16,0
2021-06-05,30-39,43,26,0
2021-06-05,60-69,<15,<15,0
2021-06-06,0-19,3278,225,0
2021-06-06,90+,<15,<15,0
2021-06-06,80-89,<15,<15,0
2021-06-06,20-29,314,240,0
2021-06-06,70-79,42,38,0
2021-06-06,30-39,260,197,0
2021-06-06,40-49,142,104,0
2021-06-06,60-69,62,53,0
2021-06-06,50-59,124,80,0
2021-06-07,70-79,43,30,0
2021-06-07,60-69,72,46,0
2021-06-07,40-49,205,103,0
2021-06-07,20-29,465,199,0
2021-06-07,50-59,118,75,0
2021-06-07,90+,<15,<15,0
2021-06-07,0-19,3045,103,0
2021-06-07,80-89,28,24,0
2021-06-07,30-39,344,165,0
2021-06-08,20-29,270,276,0
2021-06-08,30-39,275,246,0
2021-06-08,50-59,106,112,0
2021-06-08,90+,<15,<15,0
2021-06-08,80-89,<15,18,0
2021-06-08,0-19,2763,186,0
2021-06-08,70-79,22,37,0
2021-06-08,60-69,69,75,0
2021-06-08,40-49,142,156,0
2021-06-09,20-29,335,350,0
2021-06-09,90+,<15,<15,0
2021-06-09,70-79,46,53,0
2021-06-09,0-19,2533,223,0
2021-06-09,50-59,105,100,0
2021-06-09,30-39,249,266,0
2021-06-09,80-89,16,29,0
2021-06-09,40-49,172,147,0
2021-06-09,60-69,65,80,0
2021-06-10,70-79,26,46,0
2021-06-10,40-49,172,160,0
2021-06-10,60-69,64,68,0
2021-06-10,30-39,255,266,0
2021-06-10,80-89,15,18,0
2021-06-10,20-29,363,324,0
2021-06-10,0-19,2254,241,0
2021-06-10,50-59,109,104,0
2021-06-10,90+,<15,<15,0
2021-06-11,0-19,955,96,0
2021-06-11,90+,<15,<15,0
2021-06-11,50-59,45,38,0
2021-06-11,70-79,<15,19,0
2021-06-11,30-39,100,118,0
2021-06-11,60-69,<15,23,0
2021-06-11,20-29,120,133,0
