VaccinationDate,age_group,first_dose,second_dose,third_dose
2021-01-06,40-49,13793,0,0
2021-01-06,90+,2116,0,0
2021-01-06,80-89,8828,0,0
2021-01-06,60-69,24576,0,0
2021-01-06,30-39,9124,0,0
2021-01-06,0-19,1684,0,0
2021-01-07,60-69,23646,0,0
2021-01-07,90+,1757,0,0
2021-01-07,20-29,8782,0,0
2021-01-07,80-89,7976,0,0
2021-01-07,30-39,11976,0,0
2021-01-07,70-79,15391,0,0
2021-01-07,0-19,1957,0,0
2021-01-07,40-49,19171,0,0
2021-01-07,50-59,25358,0,0
2021-01-08,40-49,16244,0,0
2021-01-08,50-59,14596,0,0
2021-01-08,90+,619,0,0
2021-01-08,60-69,9689,0,0
2021-01-08,70-79,5807,0,0
2021-01-08,0-19,1918,0,0
2021-01-08,80-89,2803,0,0
2021-01-08,20-29,5763,0,0
2021-01-08,30-39,8993,0,0
2021-01-09,80-89,1553,0,0
2021-01-09,90+,331,0,0
2021-01-09,40-49,12816,0,0
2021-01-09,60-69,5420,0,0
2021-01-09,30-39,6910,0,0
2021-01-09,70-79,3244,0,0
2021-01-09,20-29,3459,0,0
2021-01-09,0-19,1020,0,0
2021-01-09,50-59,9769,0,0
2021-01-10,90+,361,<15,0
2021-01-10,50-59,7462,1539,0
2021-01-10,30-39,5834,971,0
2021-01-10,80-89,1754,44,0
2021-01-10,60-69,5587,1208,0
2021-01-10,0-19,740,15,0
2021-01-10,20-29,3269,299,0
2021-01-10,40-49,9162,1575,0
2021-01-10,70-79,3450,339,0
2021-01-11,40-49,5269,2974,0
2021-01-11,80-89,869,868,0
2021-01-11,70-79,1702,3652,0
2021-01-11,20-29,1795,821,0
2021-01-11,50-59,5097,3014,0
2021-01-11,60-69,2515,5582,0
2021-01-11,30-39,3366,2162,0
2021-01-11,90+,203,129,0
2021-01-11,0-19,311,51,0
2021-01-12,20-29,2441,1303,0
2021-01-12,0-19,351,75,0
2021-01-12,60-69,3159,11293,0
2021-01-12,70-79,1779,8940,0
2021-01-12,80-89,867,2723,0
2021-01-12,50-59,7804,3961,0
2021-01-12,90+,182,353,0
2021-01-12,40-49,4496,3952,0
2021-01-12,30-39,2941,3050,0
2021-01-13,30-39,5174,3633,0
2021-01-13,60-69,6006,19138,0
2021-01-13,20-29,3830,1902,0
2021-01-13,50-59,23385,5056,0
2021-01-13,40-49,8044,4830,0
2021-01-13,0-19,695,137,0
2021-01-13,90+,240,928,0
2021-01-13,80-89,1487,4976,0
2021-01-13,70-79,3160,16243,0
2021-01-14,0-19,1048,167,0
2021-01-14,90+,202,1188,0
2021-01-14,30-39,7254,3766,0
2021-01-14,50-59,23382,5460,0
2021-01-14,70-79,2411,20240,0
2021-01-14,20-29,5550,1949,0
2021-01-14,80-89,1094,6907,0
2021-01-14,60-69,5124,23983,0
2021-01-14,40-49,10370,5158,0
2021-01-15,40-49,5937,2008,0
2021-01-15,30-39,4756,1313,0
2021-01-15,60-69,2427,12705,0
2021-01-15,90+,112,691,0
2021-01-15,80-89,558,4171,0
2021-01-15,70-79,1203,11489,0
2021-01-15,0-19,698,118,0
2021-01-15,20-29,3200,726,0
2021-01-15,50-59,11834,2696,0
2021-01-16,50-59,12245,1786,0
2021-01-16,20-29,2128,332,0
2021-01-16,70-79,751,8639,0
2021-01-16,80-89,357,3009,0
2021-01-16,30-39,3381,708,0
2021-01-16,0-19,542,65,0
2021-01-16,90+,76,578,0
2021-01-16,40-49,8269,1285,0
2021-01-16,60-69,1684,9601,0
2021-01-17,60-69,4493,27167,0
2021-01-17,20-29,10431,2578,0
2021-01-17,30-39,6835,4598,0
2021-01-17,40-49,18418,6385,0
2021-01-17,90+,190,1783,0
2021-01-17,50-59,21996,7406,0
2021-01-17,80-89,1058,9661,0
2021-01-17,70-79,2274,24631,0
2021-01-17,0-19,2687,310,0
2021-01-18,30-39,7341,8180,0
2021-01-18,80-89,886,12571,0
2021-01-18,70-79,1924,30796,0
2021-01-18,90+,146,2541,0
2021-01-18,60-69,3967,36400,0
2021-01-18,50-59,15904,12826,0
2021-01-18,20-29,15073,4766,0
2021-01-18,40-49,20624,11530,0
2021-01-18,0-19,3841,734,0
